id;description;DEF
1012242835480806;charakterloses gesindel was dort die macht übernommen hat;TRUE
977026749002415;"Die USA bzw die NWO finanziert ja durch ihre verbündeten wie Saudi-Arabien die Terroristen damit erst ein Flüchtlingssturm nach Europa zieht und anschließend soziale Unruhen (Bürgerkrieg)ausbricht......die Amis sorgen sogar im eigenen Land dafür das dort bald ebenfalls Unruhen kommen und die Fema die KZ ähnliche Lager (wen nicht noch schlimmer)betreibt selektiert seit Juni diesen Jahres sogar schon die Bürger wer direkt stirbt,wer ins Lager kommt und wer treu ergeben ist. Anschließend wird ein weltweiter Krieg ausbrechen durch Kämpfe zwischen Iran vs Israel oder Saudi-Arabien ausgelöst.....das ziel der NWO ist danach erreicht:große Teile der Weltbevölkerung ausgelöscht und den Rest komplett unter Kontrolle und als Zwangsarbeiter eingesetzt,natürlich alle mit mikrochips der Fema ""ausgestattet"" was in USA und Afrika teilweise seit 2013 schon der Fall ist! Mal schauen wie lang es dauert bis der Kommentar gesperrt wurde.....";FALSE
856768134361611;Dresdener Bürger gehen hier für mehr Demokratie auf die Straße. Dresden ist doch jetzt schon zur heimlichen Hauptstadt der Demokratie in Deutschland geworden. Berlin = Multikulti und Verarschung des Deutschen Volkes.;FALSE
952084304829993;Das dumme Schwein hat ja auf Gangbang gehofft. ..leider wurde es nur Bumm-Aua...trifft den Richtigen;TRUE
987854411252982;Nicht anfragen...den.rest des volks fragt ihr auch nicht! Also rein mit den asylanten.da und genießt eure willkommenskultur die ihr wolltet...so ekelhaft das ganze linke deutschland hassende pack;FALSE
1011024408935982;Oh Gott, NRW, das ist doch das versiffte Bundesland wo man schon mehr fremdartige sieht als Mitteleuropäer. Da ist eh schon alles verloren. Aber sollen sie nur machen, mir ist das egal, solang in meiner Straße keine Gruppen rumlungern. Sollen sie doch mit ihren Migranten glücklich werden. Wird aber eh nicht funktionieren wie man in Frankreich und England sieht!;FALSE
1073;@KokoLores20 Frage mich schon seit Jahren, wieviel Stoff jemand intus haben muß, um solche deutschfeindlichen Idioten zu wählen?!;FALSE
882706335101124;"Die letzten Sätze machen mich da wütend ""JUNGE MÄNNER "". 

Warum sind eigentlich die meisten Flüchtlinge junge Männer ?? Weil keine Kinder und Frauen ?? Die hätten es viel mehr nötig. 

Stattdessen holen wir uns solche rein die schon im Heim gewalttätig sind ;) 

Aber das kommt davon wenn man Menschen in ein Land steckt das ihnen 20 Jahre voraus ist. Man lässt auch keinen Wilden Wolf in eine Wohnsiedlung ...";FALSE
1321;"NSU 2.0 Der Führer Urteil IM NAMEN DES DEUTSCHEN VOLKES! In der Strafsache gegen die Janine WIßLER, geboren in Langen am 23. Mai 1981, zur Zeit Adalbertstr. 30 in 60486 Frankfurt/M die Martina RENNER, geboren in Mainz am 11. März 1967, zur Zeit Backhausstr. 39, 99334 Amt Wachsenburg, die Anne HELM, geboren in Rostock am 6. Juli 1986 zur Zeit Böhmische Str. 43, 12055 Berlin, bei Dogan, wegen landesverräterrischer Feindbegünstigung, Vorbereitung zum Hochverrat, Wehrkraftzersetzung hat der Führer des NSU 2.0 in der Sitzung vom 4.7.2020 für RECHT anerkannt: Ehrgeizzerfressene, ehrlose, billige Flittchen sind Janine Wißler, Martina Renner und Anne Helm. Statt heldenhaft wir das ganze deutsche Volk dem NSU 2.0 folgend, unseren Sieg zu erkämpfen, verrieten sie das Opfer unserer Krieger, Volk und Heimat. Sie werden mit dem TODE bestraft. Gründe: Wir als deutsche Männer sind feige und grenzdebile Jammerlappen. Jedenfalls im Kontext der gegenwärtigen politischen Situation sollte von jedem von uns eigentlich erwartet werden, dass wir gegen Links, gegen Merkel und vor allem gegen das ausländische Ungeziefer mit fanatischer Härte Widerstand leisten. Dazu sind wir aber zu feige. Deshalb rennen unsere Weiber auch zu den Kanaken. Unsere deutsche Heimat ist unrettbar verloren. Der große deutsche Sozialdemokrat Vural Öger hat bereits 2004 formuliert: ""Das, was Kamuni Sultan Süleyman 1529 mit der Belagerung Wiens begonnen hat, werden wir über die Einwanderer, mit unseren kräftigen Männern und gesunden Frauen, verwirklichen. Den oben bezeichneten Assiweibern geht das aber nicht schnell genug! Ehrlos für immer werden sie alle mit dem TODE bestraft. Heil Hitler! NSU 2.0 Der Führer";TRUE
818;@Ami66Stefan @PatMair1 Schlimmer sind die IS Kämpfer die unkontrolliert ins Land kommen. # Brüder wie heute gezeigt in der ARD. Nicht nur Bio Muslems haben da gekämpft. Auch Deutscher Menschen Müll. Anders kann man solche Menschen nicht bezeichnen.;FALSE
882699795101778;Andy es geht nicht nur um Radikale...es gibt Berichte, wonach die Nordafrikanischen Länder ihre Kriminellen und Geisteskranken in die Boote nach Europa setzen....wenn das stimmt, erklärt das vieles....;FALSE
894912003880557;Oh waren es diesmal nicht die pösen Rechten??? Na sowas... Aber solange keiner zu Schaden kommt, sollte man die Dinger reihenweise abfackeln. Finde ich gut.;FALSE
982739818431108;Wir haben uns die Pest ins Land geholt ! Wir wurden auf linke Art,ohne Krieg,besetzt ! Alles nur hirnlose Idioten,die das zu verantworten haben !;FALSE
858395597532198;Stumm macht bei Euch Sinn !;FALSE
1015;"@BVBorussia_ @rponline Was hat diese saublöde Frage mit meiner ""Fußballerfrage"" zu tun? 80% der Fußballvereine, bestehen nur aus Legionäre! Das ist trauriger Fakt!";FALSE
620;"Merkel – Vollbeschäftigung bis 2025, ""das ist zu schaffen"" 😂😂😂 Das Lügen u. Betrügen geht auch zur BTW 2017 weiter 😂😂😂";FALSE
977062995665457;Der Islam duldet keine Christen neben sich, auch keine Juden oder Heiden. Entweder sie bekennen sich zum Islam oder sie werden getötet!;FALSE
994054977299592;"Sandro Rodriguez, vor dieser Bezeichnung muss aber unbedingt stehen: ""Islamische Republik Asylistan"". Und dann wird die größte Mosche in Europa gebaut mit dem Namen: ""Fatma Merkel und Gaukler Mosche"". Natürlich müssen beide vorher beschnitten werden.";FALSE
